batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04G-B003-R36","R3-04-R36-000001","2026-04-21","workspace-head","easy",4140000,"victory","axisvictory","axisvictory",21,549.97,0.0852,0.1580,0.1843,39,92,102,""
"R3-04G-B003-R36","R3-04-R36-000002","2026-04-21","workspace-head","easy",4140001,"victory","energyliberation","energyliberation",17,394.80,0.1630,0.2118,0.1118,42,89,89,""
"R3-04G-B003-R36","R3-04-R36-000003","2026-04-21","workspace-head","easy",4140002,"victory","energyliberation","energyliberation",23,487.48,0.8242,0.1916,0.2325,47,100,0,""
"R3-04G-B003-R36","R3-04-R36-000004","2026-04-21","workspace-head","easy",4140003,"victory","energyliberation","energyliberation",9,210.36,0.0328,0.0368,0.4837,91,153,137,""
"R3-04G-B003-R36","R3-04-R36-000005","2026-04-21","workspace-head","easy",4140004,"timeout","attrition","",24,600.40,0.2779,0.1147,0.1233,65,118,42,""
"R3-04G-B003-R36","R3-04-R36-000006","2026-04-21","workspace-head","easy",4140005,"victory","energyliberation","energyliberation",21,516.70,0.3666,0.1106,0.1491,54,137,37,""
"R3-04G-B003-R36","R3-04-R36-000007","2026-04-21","workspace-head","easy",4140006,"timeout","attrition","",24,625.71,0.1073,0.0807,0.2171,49,147,112,""
"R3-04G-B003-R36","R3-04-R36-000008","2026-04-21","workspace-head","easy",4140007,"victory","energyliberation","energyliberation",6,129.59,0.1059,0.0413,0.1147,95,164,117,""
"R3-04G-B003-R36","R3-04-R36-000009","2026-04-21","workspace-head","easy",4140008,"victory","energyliberation","energyliberation",15,335.57,0.0669,0.2878,0.0619,38,51,121,""
"R3-04G-B003-R36","R3-04-R36-000010","2026-04-21","workspace-head","easy",4140009,"timeout","attrition","",24,545.20,0.2124,0.2524,0.3631,38,102,74,""
"R3-04G-B003-R36","R3-04-R36-000011","2026-04-21","workspace-head","easy",4140010,"victory","energyliberation","energyliberation",8,185.13,0.1636,0.1820,0.0995,56,97,102,""
"R3-04G-B003-R36","R3-04-R36-000012","2026-04-21","workspace-head","easy",4140011,"victory","energyliberation","energyliberation",19,508.89,0.1693,0.1764,0.0767,63,110,67,""
"R3-04G-B003-R36","R3-04-R36-000013","2026-04-21","workspace-head","easy",4140012,"timeout","attrition","",24,623.09,0.6168,0.2770,0.0701,15,73,0,""
"R3-04G-B003-R36","R3-04-R36-000014","2026-04-21","workspace-head","easy",4140013,"timeout","attrition","",24,563.31,0.3749,0.0876,0.1988,81,154,30,""
"R3-04G-B003-R36","R3-04-R36-000015","2026-04-21","workspace-head","easy",4140014,"victory","energyliberation","energyliberation",6,138.33,0.0748,0.0611,0.0808,80,118,125,""
"R3-04G-B003-R36","R3-04-R36-000016","2026-04-21","workspace-head","easy",4140015,"timeout","attrition","",24,636.69,0.2928,0.1497,0.2934,74,130,49,""
"R3-04G-B003-R36","R3-04-R36-000017","2026-04-21","workspace-head","easy",4140016,"timeout","attrition","",24,639.13,0.5195,0.1265,0.3767,58,125,0,""
"R3-04G-B003-R36","R3-04-R36-000018","2026-04-21","workspace-head","easy",4140017,"victory","energyliberation","energyliberation",16,416.48,0.1752,0.0948,0.2594,67,150,75,""
"R3-04G-B003-R36","R3-04-R36-000019","2026-04-21","workspace-head","easy",4140018,"victory","axisvictory","axisvictory",16,394.77,0.1045,0.1636,0.0891,72,124,106,""
"R3-04G-B003-R36","R3-04-R36-000020","2026-04-21","workspace-head","easy",4140019,"timeout","attrition","",24,574.21,0.8606,0.1011,0.1894,13,141,0,""
"R3-04G-B003-R36","R3-04-R36-000021","2026-04-21","workspace-head","easy",4140020,"timeout","attrition","",24,564.32,0.4036,0.0686,0.0619,41,159,0,""
"R3-04G-B003-R36","R3-04-R36-000022","2026-04-21","workspace-head","easy",4140021,"timeout","attrition","",24,593.42,0.2943,0.2716,0.1327,40,63,50,""
"R3-04G-B003-R36","R3-04-R36-000023","2026-04-21","workspace-head","easy",4140022,"victory","energyliberation","energyliberation",14,294.48,0.4672,0.1169,0.1833,65,130,22,""
"R3-04G-B003-R36","R3-04-R36-000024","2026-04-21","workspace-head","easy",4140023,"timeout","attrition","",24,563.45,0.5070,0.1621,0.1328,48,121,14,""
"R3-04G-B003-R36","R3-04-R36-000025","2026-04-21","workspace-head","easy",4140024,"victory","energyliberation","energyliberation",10,212.22,0.1512,0.0603,0.0090,66,163,89,""
"R3-04G-B003-R36","R3-04-R36-000026","2026-04-21","workspace-head","easy",4140025,"victory","energyliberation","energyliberation",15,376.28,0.1188,0.1071,0.1840,74,92,86,""
