batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04G-B001-R30","R3-04-R30-000001","2026-04-21","workspace-head","easy",4140000,"victory","energyliberation","energyliberation",5,109.09,0.1108,0.1242,0.0927,75,109,110,""
"R3-04G-B001-R30","R3-04-R30-000002","2026-04-21","workspace-head","easy",4140001,"timeout","attrition","",24,613.17,0.2158,0.3632,0.1416,38,18,70,""
"R3-04G-B001-R30","R3-04-R30-000003","2026-04-21","workspace-head","easy",4140002,"victory","energyliberation","energyliberation",17,415.32,0.1828,0.1174,0.4691,72,87,72,""
"R3-04G-B001-R30","R3-04-R30-000004","2026-04-21","workspace-head","easy",4140003,"victory","energyliberation","energyliberation",8,196.49,0.0363,0.0382,0.4303,95,151,136,""
"R3-04G-B001-R30","R3-04-R30-000005","2026-04-21","workspace-head","easy",4140004,"victory","energyliberation","energyliberation",6,133.11,0.0985,0.1264,0.2125,73,120,111,""
"R3-04G-B001-R30","R3-04-R30-000006","2026-04-21","workspace-head","easy",4140005,"timeout","attrition","",24,556.72,0.4008,0.3956,0.2132,45,29,6,""
"R3-04G-B001-R30","R3-04-R30-000007","2026-04-21","workspace-head","easy",4140006,"victory","energyliberation","energyliberation",12,295.69,0.0575,0.0966,0.5769,72,144,129,""
"R3-04G-B001-R30","R3-04-R30-000008","2026-04-21","workspace-head","easy",4140007,"victory","energyliberation","energyliberation",6,129.59,0.0876,0.0497,0.1258,95,161,117,""
"R3-04G-B001-R30","R3-04-R30-000009","2026-04-21","workspace-head","easy",4140008,"timeout","attrition","",24,577.89,0.2437,0.2907,0.0602,63,59,52,""
"R3-04G-B001-R30","R3-04-R30-000010","2026-04-21","workspace-head","easy",4140009,"victory","energyliberation","energyliberation",7,156.61,0.1352,0.0505,0.2036,33,103,96,""
"R3-04G-B001-R30","R3-04-R30-000011","2026-04-21","workspace-head","easy",4140010,"victory","energyliberation","energyliberation",8,194.57,0.0927,0.1189,0.0855,69,128,106,""
