batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04G-B015-R71","R3-04-R71-000001","2026-04-21","workspace-head","easy",4130000,"victory","energyliberation","energyliberation",9,201.08,0.1196,0.0561,0.5407,74,143,98,""
"R3-04G-B015-R71","R3-04-R71-000002","2026-04-21","workspace-head","easy",4130001,"victory","energyliberation","energyliberation",7,150.25,0.0977,0.1964,0.3515,45,58,112,""
"R3-04G-B015-R71","R3-04-R71-000003","2026-04-21","workspace-head","easy",4130002,"victory","axisvictory","axisvictory",12,249.60,0.1244,0.1519,0.3245,62,79,100,""
"R3-04G-B015-R71","R3-04-R71-000004","2026-04-21","workspace-head","easy",4130003,"timeout","attrition","",24,563.26,0.2935,0.0997,0.2921,46,149,46,""
"R3-04G-B015-R71","R3-04-R71-000005","2026-04-21","workspace-head","easy",4130004,"victory","energyliberation","energyliberation",19,411.51,0.1687,0.1490,0.0571,71,90,82,""
"R3-04G-B015-R71","R3-04-R71-000006","2026-04-21","workspace-head","easy",4130005,"victory","energyliberation","energyliberation",11,248.44,0.1655,0.1045,0.6675,86,111,78,""
"R3-04G-B015-R71","R3-04-R71-000007","2026-04-21","workspace-head","easy",4130006,"victory","energyliberation","energyliberation",6,120.60,0.0121,0.0324,0.0698,50,138,146,""
"R3-04G-B015-R71","R3-04-R71-000008","2026-04-21","workspace-head","easy",4130007,"victory","energyliberation","energyliberation",3,65.69,0.0000,0.1071,0.1331,70,118,150,""
"R3-04G-B015-R71","R3-04-R71-000009","2026-04-21","workspace-head","easy",4130008,"timeout","attrition","",24,587.51,0.1475,0.3833,0.1260,18,48,89,""
"R3-04G-B015-R71","R3-04-R71-000010","2026-04-21","workspace-head","easy",4130009,"timeout","attrition","",24,526.72,0.1503,0.1005,0.3646,83,142,93,""
"R3-04G-B015-R71","R3-04-R71-000011","2026-04-21","workspace-head","easy",4130010,"victory","energyliberation","energyliberation",3,70.71,0.0500,0.0745,0.0935,79,135,133,""
"R3-04G-B015-R71","R3-04-R71-000012","2026-04-21","workspace-head","easy",4130011,"victory","energyliberation","energyliberation",21,470.06,0.2099,0.1842,0.4174,70,117,69,""
"R3-04G-B015-R71","R3-04-R71-000013","2026-04-21","workspace-head","easy",4130012,"defeat","military_collapse","",22,481.60,0.4484,0.1131,0.0982,2,103,21,""
"R3-04G-B015-R71","R3-04-R71-000014","2026-04-21","workspace-head","easy",4130013,"victory","energyliberation","energyliberation",6,136.17,0.0665,0.0495,0.1860,68,129,124,""
"R3-04G-B015-R71","R3-04-R71-000015","2026-04-21","workspace-head","easy",4130014,"victory","axisvictory","axisvictory",16,369.63,0.1369,0.0922,0.1104,68,143,85,""
"R3-04G-B015-R71","R3-04-R71-000016","2026-04-21","workspace-head","easy",4130015,"defeat","military_collapse","",20,462.29,0.1330,0.2099,0.7317,0,79,91,""
"R3-04G-B015-R71","R3-04-R71-000017","2026-04-21","workspace-head","easy",4130016,"victory","energyliberation","energyliberation",8,163.21,0.2821,0.0637,0.1263,50,164,51,""
"R3-04G-B015-R71","R3-04-R71-000018","2026-04-21","workspace-head","easy",4130017,"victory","energyliberation","energyliberation",17,438.08,0.1096,0.0763,0.4848,27,149,92,""
"R3-04G-B015-R71","R3-04-R71-000019","2026-04-21","workspace-head","easy",4130018,"victory","axisvictory","axisvictory",10,246.41,0.1696,0.0699,0.2497,53,165,86,""
"R3-04G-B015-R71","R3-04-R71-000020","2026-04-21","workspace-head","easy",4130019,"timeout","attrition","",24,572.66,0.2174,0.1297,0.2094,41,76,51,""
"R3-04G-B015-R71","R3-04-R71-000021","2026-04-21","workspace-head","easy",4130020,"victory","axisvictory","axisvictory",6,155.44,0.2270,0.1302,0.0844,57,110,81,""
"R3-04G-B015-R71","R3-04-R71-000022","2026-04-21","workspace-head","easy",4130021,"timeout","attrition","",24,480.23,0.2250,0.1003,0.2124,50,138,71,""
"R3-04G-B015-R71","R3-04-R71-000023","2026-04-21","workspace-head","easy",4130022,"victory","axisvictory","axisvictory",11,257.50,0.2154,0.2503,0.2754,53,89,72,""
"R3-04G-B015-R71","R3-04-R71-000024","2026-04-21","workspace-head","easy",4130023,"victory","energyliberation","energyliberation",8,182.83,0.0657,0.0803,0.0745,67,133,122,""
"R3-04G-B015-R71","R3-04-R71-000025","2026-04-21","workspace-head","easy",4130024,"victory","energyliberation","energyliberation",4,99.39,0.0058,0.0809,0.0000,84,161,148,""
"R3-04G-B015-R71","R3-04-R71-000026","2026-04-21","workspace-head","easy",4130025,"victory","energyliberation","energyliberation",16,405.47,0.5765,0.1386,0.3773,55,101,0,""
"R3-04G-B015-R71","R3-04-R71-000027","2026-04-21","workspace-head","easy",4130026,"timeout","attrition","",24,485.60,0.6002,0.1796,0.1522,8,104,0,""
"R3-04G-B015-R71","R3-04-R71-000028","2026-04-21","workspace-head","easy",4130027,"victory","energyliberation","energyliberation",8,207.12,0.3603,0.0451,1.1389,51,151,38,""
"R3-04G-B015-R71","R3-04-R71-000029","2026-04-21","workspace-head","easy",4130028,"victory","energyliberation","energyliberation",16,331.01,0.1418,0.2001,0.5010,56,96,88,""
"R3-04G-B015-R71","R3-04-R71-000030","2026-04-21","workspace-head","easy",4130029,"victory","energyliberation","energyliberation",14,290.52,0.0580,0.1807,0.0792,65,97,129,""
"R3-04G-B015-R71","R3-04-R71-000031","2026-04-21","workspace-head","easy",4130030,"victory","energyliberation","energyliberation",17,346.22,0.1456,0.1251,0.2915,49,101,90,""
"R3-04G-B015-R71","R3-04-R71-000032","2026-04-21","workspace-head","easy",4130031,"victory","energyliberation","energyliberation",4,102.78,0.0087,0.1134,0.1275,75,97,147,""
"R3-04G-B015-R71","R3-04-R71-000033","2026-04-21","workspace-head","easy",4130032,"victory","axisvictory","axisvictory",12,242.99,0.6934,0.0979,0.2746,56,92,0,""
"R3-04G-B015-R71","R3-04-R71-000034","2026-04-21","workspace-head","easy",4130033,"timeout","attrition","",24,565.65,0.3171,0.2044,0.6620,55,94,21,""
"R3-04G-B015-R71","R3-04-R71-000035","2026-04-21","workspace-head","easy",4130034,"timeout","attrition","",24,576.78,0.0838,0.3515,0.1134,66,46,107,""
"R3-04G-B015-R71","R3-04-R71-000036","2026-04-21","workspace-head","easy",4130035,"victory","energyliberation","energyliberation",7,170.44,0.1018,0.0636,0.2633,47,137,115,""
"R3-04G-B015-R71","R3-04-R71-000037","2026-04-21","workspace-head","easy",4130036,"timeout","attrition","",24,517.26,0.6012,0.0967,0.2092,30,144,0,""
"R3-04G-B015-R71","R3-04-R71-000038","2026-04-21","workspace-head","easy",4130037,"timeout","attrition","",24,492.21,0.0825,0.1803,0.2743,65,106,113,""
"R3-04G-B015-R71","R3-04-R71-000039","2026-04-21","workspace-head","easy",4130038,"defeat","military_collapse","",24,537.97,0.5262,0.2285,0.2818,0,54,0,""
"R3-04G-B015-R71","R3-04-R71-000040","2026-04-21","workspace-head","easy",4130039,"victory","energyliberation","energyliberation",14,351.90,0.0388,0.1116,0.0810,55,88,131,""
"R3-04G-B015-R71","R3-04-R71-000041","2026-04-21","workspace-head","easy",4130040,"victory","energyliberation","energyliberation",10,231.98,0.1922,0.1179,0.2377,57,139,84,""
"R3-04G-B015-R71","R3-04-R71-000042","2026-04-21","workspace-head","easy",4130041,"timeout","attrition","",24,511.50,0.9942,0.2782,0.3013,59,57,0,""
"R3-04G-B015-R71","R3-04-R71-000043","2026-04-21","workspace-head","easy",4130042,"victory","energyliberation","energyliberation",7,154.42,0.0633,0.0342,0.4780,66,110,125,""
"R3-04G-B015-R71","R3-04-R71-000044","2026-04-21","workspace-head","easy",4130043,"victory","energyliberation","energyliberation",16,334.83,0.1588,0.1244,0.1095,64,82,81,""
"R3-04G-B015-R71","R3-04-R71-000045","2026-04-21","workspace-head","easy",4130044,"victory","energyliberation","energyliberation",5,129.49,0.0298,0.0903,0.0959,61,132,139,""
"R3-04G-B015-R71","R3-04-R71-000046","2026-04-21","workspace-head","easy",4130045,"victory","axisvictory","axisvictory",24,607.88,0.0645,0.0950,0.3234,37,121,118,""
"R3-04G-B015-R71","R3-04-R71-000047","2026-04-21","workspace-head","easy",4130046,"victory","energyliberation","energyliberation",6,134.09,0.0456,0.0360,0.2227,86,111,132,""
"R3-04G-B015-R71","R3-04-R71-000048","2026-04-21","workspace-head","easy",4130047,"defeat","military_collapse","",24,604.34,0.2731,0.1419,0.1797,4,134,36,""
"R3-04G-B015-R71","R3-04-R71-000049","2026-04-21","workspace-head","easy",4130048,"victory","energyliberation","energyliberation",11,225.21,0.2413,0.1404,0.2654,66,101,53,""
"R3-04G-B015-R71","R3-04-R71-000050","2026-04-21","workspace-head","easy",4130049,"defeat","military_collapse","",23,485.90,0.3392,0.1505,0.2902,2,102,1,""
"R3-04G-B015-R71","R3-04-R71-000051","2026-04-21","workspace-head","easy",4130050,"timeout","attrition","",24,602.93,0.6642,0.1133,0.2685,54,147,0,""
"R3-04G-B015-R71","R3-04-R71-000052","2026-04-21","workspace-head","easy",4130051,"timeout","attrition","",24,582.45,0.2391,0.0928,0.1919,57,117,56,""
"R3-04G-B015-R71","R3-04-R71-000053","2026-04-21","workspace-head","easy",4130052,"victory","energyliberation","energyliberation",15,379.55,0.6575,0.0523,0.4123,76,167,0,""
"R3-04G-B015-R71","R3-04-R71-000054","2026-04-21","workspace-head","easy",4130053,"victory","energyliberation","energyliberation",7,151.13,0.1266,0.2163,0.0858,68,69,103,""
"R3-04G-B015-R71","R3-04-R71-000055","2026-04-21","workspace-head","easy",4130054,"timeout","attrition","",24,619.89,0.3595,0.1197,0.1174,21,137,25,""
"R3-04G-B015-R71","R3-04-R71-000056","2026-04-21","workspace-head","easy",4130055,"victory","energyliberation","energyliberation",18,361.92,0.0938,0.0931,0.0738,47,151,103,""
"R3-04G-B015-R71","R3-04-R71-000057","2026-04-21","workspace-head","easy",4130056,"timeout","attrition","",24,565.23,0.6217,0.1548,0.8490,40,94,0,""
"R3-04G-B015-R71","R3-04-R71-000058","2026-04-21","workspace-head","easy",4130057,"victory","energyliberation","energyliberation",16,345.86,0.0966,0.0992,0.2602,53,93,104,""
"R3-04G-B015-R71","R3-04-R71-000059","2026-04-21","workspace-head","easy",4130058,"victory","energyliberation","energyliberation",3,74.88,0.0347,0.0246,0.0258,61,162,139,""
"R3-04G-B015-R71","R3-04-R71-000060","2026-04-21","workspace-head","easy",4130059,"victory","energyliberation","energyliberation",11,265.64,0.6213,0.0775,0.2458,49,77,0,""
"R3-04G-B015-R71","R3-04-R71-000061","2026-04-21","workspace-head","easy",4130060,"victory","energyliberation","energyliberation",11,238.06,0.0695,0.1587,0.1752,50,94,120,""
"R3-04G-B015-R71","R3-04-R71-000062","2026-04-21","workspace-head","easy",4130061,"victory","energyliberation","energyliberation",13,304.82,0.5921,0.3539,0.2364,72,40,0,""
"R3-04G-B015-R71","R3-04-R71-000063","2026-04-21","workspace-head","easy",4130062,"defeat","military_collapse","",21,489.00,0.2867,0.1624,0.4014,0,119,45,""
"R3-04G-B015-R71","R3-04-R71-000064","2026-04-21","workspace-head","easy",4130063,"victory","energyliberation","energyliberation",6,137.20,0.0338,0.0939,0.3691,58,97,137,""
