batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04G-B015-R72","R3-04-R72-000001","2026-04-21","workspace-head","easy",4140000,"victory","combined","combined",4,86.63,0.2128,0.0281,0.0672,74,137,85,""
"R3-04G-B015-R72","R3-04-R72-000002","2026-04-21","workspace-head","easy",4140001,"victory","axisvictory","axisvictory",20,483.73,0.8705,0.1911,0.3457,69,69,0,""
"R3-04G-B015-R72","R3-04-R72-000003","2026-04-21","workspace-head","easy",4140002,"victory","energyliberation","energyliberation",13,272.11,0.1344,0.2388,0.2737,72,71,90,""
"R3-04G-B015-R72","R3-04-R72-000004","2026-04-21","workspace-head","easy",4140003,"timeout","attrition","",24,484.76,0.1907,0.0785,0.2973,64,155,60,""
"R3-04G-B015-R72","R3-04-R72-000005","2026-04-21","workspace-head","easy",4140004,"timeout","attrition","",24,586.34,0.6500,0.2000,0.1591,12,85,0,""
"R3-04G-B015-R72","R3-04-R72-000006","2026-04-21","workspace-head","easy",4140005,"timeout","attrition","",24,510.24,0.1504,0.2116,0.0929,43,94,89,""
"R3-04G-B015-R72","R3-04-R72-000007","2026-04-21","workspace-head","easy",4140006,"victory","axisvictory","axisvictory",8,189.00,0.2571,0.0646,0.1696,60,164,72,""
"R3-04G-B015-R72","R3-04-R72-000008","2026-04-21","workspace-head","easy",4140007,"victory","energyliberation","energyliberation",7,177.77,0.0369,0.0533,0.0035,68,167,135,""
"R3-04G-B015-R72","R3-04-R72-000009","2026-04-21","workspace-head","easy",4140008,"victory","energyliberation","energyliberation",18,371.88,0.3144,0.1418,0.0598,78,85,42,""
"R3-04G-B015-R72","R3-04-R72-000010","2026-04-21","workspace-head","easy",4140009,"timeout","attrition","",24,523.34,0.1760,0.2596,0.0897,66,97,80,""
"R3-04G-B015-R72","R3-04-R72-000011","2026-04-21","workspace-head","easy",4140010,"victory","energyliberation","energyliberation",7,143.40,0.1249,0.0765,0.1130,68,156,87,""
"R3-04G-B015-R72","R3-04-R72-000012","2026-04-21","workspace-head","easy",4140011,"timeout","attrition","",24,521.15,1.0187,0.1673,0.0789,28,106,0,""
"R3-04G-B015-R72","R3-04-R72-000013","2026-04-21","workspace-head","easy",4140012,"timeout","attrition","",24,532.97,0.3012,0.2474,0.1151,69,31,33,""
"R3-04G-B015-R72","R3-04-R72-000014","2026-04-21","workspace-head","easy",4140013,"timeout","attrition","",24,527.03,0.2603,0.1168,0.1423,61,129,37,""
