batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04G-B001-R29","R3-04-R29-000001","2026-04-21","workspace-head","easy",4130000,"victory","energyliberation","energyliberation",16,348.89,0.1689,0.1008,0.1473,77,149,88,""
"R3-04G-B001-R29","R3-04-R29-000002","2026-04-21","workspace-head","easy",4130001,"victory","axisvictory","axisvictory",6,154.52,0.0837,0.0867,0.2578,56,97,119,""
"R3-04G-B001-R29","R3-04-R29-000003","2026-04-21","workspace-head","easy",4130002,"victory","energyliberation","energyliberation",7,143.50,0.1357,0.0458,0.0906,69,110,104,""
"R3-04G-B001-R29","R3-04-R29-000004","2026-04-21","workspace-head","easy",4130003,"victory","energyliberation","energyliberation",8,196.80,0.0541,0.0676,0.1194,53,134,127,""
"R3-04G-B001-R29","R3-04-R29-000005","2026-04-21","workspace-head","easy",4130004,"victory","energyliberation","energyliberation",14,343.18,0.5335,0.1494,0.1424,54,113,1,""
"R3-04G-B001-R29","R3-04-R29-000006","2026-04-21","workspace-head","easy",4130005,"victory","energyliberation","energyliberation",2,44.04,0.0000,0.0122,0.0208,89,121,150,""
"R3-04G-B001-R29","R3-04-R29-000007","2026-04-21","workspace-head","easy",4130006,"victory","energyliberation","energyliberation",6,120.60,0.0468,0.1291,0.0312,57,104,134,""
"R3-04G-B001-R29","R3-04-R29-000008","2026-04-21","workspace-head","easy",4130007,"victory","energyliberation","energyliberation",20,480.24,0.1164,0.1703,0.0859,26,70,97,""
"R3-04G-B001-R29","R3-04-R29-000009","2026-04-21","workspace-head","easy",4130008,"victory","axisvictory","axisvictory",12,278.50,0.2833,0.3930,0.0703,19,64,42,""
"R3-04G-B001-R29","R3-04-R29-000010","2026-04-21","workspace-head","easy",4130009,"victory","energyliberation","energyliberation",11,245.28,0.5169,0.0659,0.1875,75,121,0,""
"R3-04G-B001-R29","R3-04-R29-000011","2026-04-21","workspace-head","easy",4130010,"victory","energyliberation","energyliberation",2,51.32,0.0000,0.0941,0.4118,86,130,150,""
"R3-04G-B001-R29","R3-04-R29-000012","2026-04-21","workspace-head","easy",4130011,"defeat","military_collapse","",9,231.36,0.1017,0.0927,0.0986,4,139,103,""
"R3-04G-B001-R29","R3-04-R29-000013","2026-04-21","workspace-head","easy",4130012,"timeout","attrition","",24,608.73,0.1722,0.1217,0.1095,72,138,76,""
"R3-04G-B001-R29","R3-04-R29-000014","2026-04-21","workspace-head","easy",4130013,"timeout","attrition","",24,522.43,0.4577,0.1168,0.1987,75,97,7,""
"R3-04G-B001-R29","R3-04-R29-000015","2026-04-21","workspace-head","easy",4130014,"victory","energyliberation","energyliberation",24,529.37,0.1139,0.1370,0.1606,61,113,100,""
"R3-04G-B001-R29","R3-04-R29-000016","2026-04-21","workspace-head","easy",4130015,"victory","energyliberation","energyliberation",9,219.74,0.0161,0.0736,0.1640,68,88,143,""
"R3-04G-B001-R29","R3-04-R29-000017","2026-04-21","workspace-head","easy",4130016,"timeout","attrition","",24,609.35,0.1828,0.1594,0.1751,53,122,83,""
"R3-04G-B001-R29","R3-04-R29-000018","2026-04-21","workspace-head","easy",4130017,"defeat","military_collapse","",23,471.99,0.4934,0.0681,0.6446,5,162,0,""
"R3-04G-B001-R29","R3-04-R29-000019","2026-04-21","workspace-head","easy",4130018,"victory","energyliberation","energyliberation",13,273.38,0.0705,0.0655,0.2714,64,169,119,""
"R3-04G-B001-R29","R3-04-R29-000020","2026-04-21","workspace-head","easy",4130019,"timeout","attrition","",24,568.09,0.2676,0.0970,0.3130,84,144,38,""
"R3-04G-B001-R29","R3-04-R29-000021","2026-04-21","workspace-head","easy",4130020,"victory","energyliberation","energyliberation",5,108.83,0.2298,0.0744,0.0527,61,111,86,""
"R3-04G-B001-R29","R3-04-R29-000022","2026-04-21","workspace-head","easy",4130021,"victory","energyliberation","energyliberation",18,454.60,0.2791,0.0808,0.0421,48,144,41,""
"R3-04G-B001-R29","R3-04-R29-000023","2026-04-21","workspace-head","easy",4130022,"victory","energyliberation","energyliberation",9,223.59,0.3710,0.2325,0.1589,61,74,31,""
"R3-04G-B001-R29","R3-04-R29-000024","2026-04-21","workspace-head","easy",4130023,"timeout","attrition","",24,579.04,0.2921,0.1216,0.2413,72,135,57,""
"R3-04G-B001-R29","R3-04-R29-000025","2026-04-21","workspace-head","easy",4130024,"victory","energyliberation","energyliberation",3,73.62,0.0578,0.0123,0.0000,92,151,125,""
"R3-04G-B001-R29","R3-04-R29-000026","2026-04-21","workspace-head","easy",4130025,"victory","energyliberation","energyliberation",6,137.84,0.1573,0.0745,0.2302,64,105,97,""
"R3-04G-B001-R29","R3-04-R29-000027","2026-04-21","workspace-head","easy",4130026,"timeout","attrition","",24,511.04,0.1885,0.1763,0.1241,31,105,82,""
"R3-04G-B001-R29","R3-04-R29-000028","2026-04-21","workspace-head","easy",4130027,"victory","energyliberation","energyliberation",19,479.73,0.4129,0.1282,0.3409,39,127,32,""
"R3-04G-B001-R29","R3-04-R29-000029","2026-04-21","workspace-head","easy",4130028,"victory","energyliberation","energyliberation",19,433.31,0.1083,0.0661,0.0827,78,157,94,""
