batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04G-B003-R34","R3-04-R34-000001","2026-04-21","workspace-head","easy",4120000,"timeout","attrition","",24,539.31,0.0995,0.0748,0.1823,56,146,100,""
"R3-04G-B003-R34","R3-04-R34-000002","2026-04-21","workspace-head","easy",4120001,"victory","energyliberation","energyliberation",13,287.15,0.2009,0.0553,0.1052,75,172,84,""
"R3-04G-B003-R34","R3-04-R34-000003","2026-04-21","workspace-head","easy",4120002,"victory","energyliberation","energyliberation",19,416.06,0.2455,0.1034,0.0354,42,128,47,""
"R3-04G-B003-R34","R3-04-R34-000004","2026-04-21","workspace-head","easy",4120003,"timeout","attrition","",24,541.38,0.6244,0.1077,0.4613,20,145,0,""
"R3-04G-B003-R34","R3-04-R34-000005","2026-04-21","workspace-head","easy",4120004,"timeout","attrition","",24,623.51,0.2842,0.0603,0.0829,22,169,49,""
"R3-04G-B003-R34","R3-04-R34-000006","2026-04-21","workspace-head","easy",4120005,"victory","energyliberation","energyliberation",17,411.59,0.1451,0.0418,0.0944,83,171,85,""
"R3-04G-B003-R34","R3-04-R34-000007","2026-04-21","workspace-head","easy",4120006,"victory","energyliberation","energyliberation",7,156.56,0.1335,0.0985,0.0835,87,123,109,""
"R3-04G-B003-R34","R3-04-R34-000008","2026-04-21","workspace-head","easy",4120007,"victory","energyliberation","energyliberation",22,486.56,0.4144,0.1651,0.0908,79,121,0,""
"R3-04G-B003-R34","R3-04-R34-000009","2026-04-21","workspace-head","easy",4120008,"timeout","attrition","",24,484.79,0.8593,0.1763,0.2380,33,109,0,""
"R3-04G-B003-R34","R3-04-R34-000010","2026-04-21","workspace-head","easy",4120009,"victory","energyliberation","energyliberation",15,312.06,0.1152,0.2193,0.1268,12,60,104,""
"R3-04G-B003-R34","R3-04-R34-000011","2026-04-21","workspace-head","easy",4120010,"timeout","attrition","",24,597.60,0.7737,0.1255,0.4852,7,137,0,""
"R3-04G-B003-R34","R3-04-R34-000012","2026-04-21","workspace-head","easy",4120011,"victory","axisvictory","axisvictory",13,260.06,0.1442,0.0960,0.0507,91,148,98,""
"R3-04G-B003-R34","R3-04-R34-000013","2026-04-21","workspace-head","easy",4120012,"victory","energyliberation","energyliberation",2,40.10,0.0000,0.0156,0.0123,86,126,150,""
"R3-04G-B003-R34","R3-04-R34-000014","2026-04-21","workspace-head","easy",4120013,"timeout","attrition","",24,594.66,0.2622,0.1957,0.1644,41,111,36,""
"R3-04G-B003-R34","R3-04-R34-000015","2026-04-21","workspace-head","easy",4120014,"victory","energyliberation","energyliberation",10,248.65,0.0823,0.0943,0.0376,61,148,113,""
"R3-04G-B003-R34","R3-04-R34-000016","2026-04-21","workspace-head","easy",4120015,"victory","energyliberation","energyliberation",12,300.27,0.0814,0.0725,0.1356,81,140,107,""
"R3-04G-B003-R34","R3-04-R34-000017","2026-04-21","workspace-head","easy",4120016,"victory","energyliberation","energyliberation",15,372.73,0.1218,0.1208,0.2593,69,131,90,""
"R3-04G-B003-R34","R3-04-R34-000018","2026-04-21","workspace-head","easy",4120017,"victory","energyliberation","energyliberation",4,92.17,0.0000,0.0626,0.1150,81,133,150,""
"R3-04G-B003-R34","R3-04-R34-000019","2026-04-21","workspace-head","easy",4120018,"timeout","attrition","",24,496.00,0.9437,0.0862,0.1706,40,157,0,""
