batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04G-B008-R49","R3-04-R49-000001","2026-04-21","workspace-head","easy",4120000,"timeout","attrition","",24,609.66,0.0914,0.0852,0.2089,51,140,101,""
"R3-04G-B008-R49","R3-04-R49-000002","2026-04-21","workspace-head","easy",4120001,"victory","energyliberation","energyliberation",15,330.91,0.2007,0.0673,0.0994,70,165,82,""
"R3-04G-B008-R49","R3-04-R49-000003","2026-04-21","workspace-head","easy",4120002,"victory","energyliberation","energyliberation",12,255.23,0.1092,0.1510,0.0327,76,123,106,""
"R3-04G-B008-R49","R3-04-R49-000004","2026-04-21","workspace-head","easy",4120003,"victory","energyliberation","energyliberation",20,518.00,0.6173,0.1251,0.3067,20,138,0,""
"R3-04G-B008-R49","R3-04-R49-000005","2026-04-21","workspace-head","easy",4120004,"timeout","attrition","",24,623.51,0.2685,0.1406,0.2956,46,128,52,""
"R3-04G-B008-R49","R3-04-R49-000006","2026-04-21","workspace-head","easy",4120005,"victory","energyliberation","energyliberation",17,411.59,0.1478,0.0551,0.0970,81,163,84,""
"R3-04G-B008-R49","R3-04-R49-000007","2026-04-21","workspace-head","easy",4120006,"victory","energyliberation","energyliberation",11,267.46,0.0850,0.1313,0.0580,83,94,115,""
"R3-04G-B008-R49","R3-04-R49-000008","2026-04-21","workspace-head","easy",4120007,"victory","energyliberation","energyliberation",20,492.81,0.5788,0.1031,0.2854,88,150,0,""
"R3-04G-B008-R49","R3-04-R49-000009","2026-04-21","workspace-head","easy",4120008,"timeout","attrition","",24,490.39,0.1447,0.2078,0.3913,19,69,76,""
"R3-04G-B008-R49","R3-04-R49-000010","2026-04-21","workspace-head","easy",4120009,"timeout","attrition","",24,620.56,0.3272,0.1565,0.3194,26,97,36,""
"R3-04G-B008-R49","R3-04-R49-000011","2026-04-21","workspace-head","easy",4120010,"timeout","attrition","",24,597.60,0.7257,0.1364,0.5117,10,135,0,""
"R3-04G-B008-R49","R3-04-R49-000012","2026-04-21","workspace-head","easy",4120011,"victory","axisvictory","axisvictory",14,341.17,0.1413,0.1195,0.0526,87,140,97,""
"R3-04G-B008-R49","R3-04-R49-000013","2026-04-21","workspace-head","easy",4120012,"victory","energyliberation","energyliberation",2,40.10,0.0000,0.0164,0.0065,82,120,150,""
"R3-04G-B008-R49","R3-04-R49-000014","2026-04-21","workspace-head","easy",4120013,"timeout","attrition","",24,594.66,0.2287,0.2846,0.2276,64,84,50,""
"R3-04G-B008-R49","R3-04-R49-000015","2026-04-21","workspace-head","easy",4120014,"victory","energyliberation","energyliberation",9,189.82,0.0152,0.0968,0.0692,80,141,143,""
"R3-04G-B008-R49","R3-04-R49-000016","2026-04-21","workspace-head","easy",4120015,"timeout","attrition","",24,577.96,0.1300,0.0821,0.1572,76,130,91,""
"R3-04G-B008-R49","R3-04-R49-000017","2026-04-21","workspace-head","easy",4120016,"victory","energyliberation","energyliberation",15,372.73,0.1154,0.1325,0.2898,65,125,92,""
"R3-04G-B008-R49","R3-04-R49-000018","2026-04-21","workspace-head","easy",4120017,"victory","energyliberation","energyliberation",4,92.17,0.0000,0.0641,0.1313,78,127,150,""
"R3-04G-B008-R49","R3-04-R49-000019","2026-04-21","workspace-head","easy",4120018,"timeout","attrition","",24,496.00,0.7878,0.1069,0.2610,45,124,0,""
