batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04G-B007-R46","R3-04-R46-000001","2026-04-21","workspace-head","easy",4120000,"victory","energyliberation","energyliberation",5,109.17,0.1257,0.0888,0.2261,63,144,107,""
"R3-04G-B007-R46","R3-04-R46-000002","2026-04-21","workspace-head","easy",4120001,"victory","energyliberation","energyliberation",12,285.87,0.2937,0.0857,0.0588,50,153,59,""
"R3-04G-B007-R46","R3-04-R46-000003","2026-04-21","workspace-head","easy",4120002,"victory","axisvictory","axisvictory",13,337.58,0.0647,0.1719,0.0876,57,123,124,""
"R3-04G-B007-R46","R3-04-R46-000004","2026-04-21","workspace-head","easy",4120003,"victory","energyliberation","energyliberation",20,538.00,0.6005,0.1546,0.2453,18,124,0,""
"R3-04G-B007-R46","R3-04-R46-000005","2026-04-21","workspace-head","easy",4120004,"timeout","attrition","",24,647.51,0.2534,0.1432,0.2981,48,125,56,""
"R3-04G-B007-R46","R3-04-R46-000006","2026-04-21","workspace-head","easy",4120005,"victory","energyliberation","energyliberation",3,80.16,0.0291,0.0591,0.0000,81,168,112,""
"R3-04G-B007-R46","R3-04-R46-000007","2026-04-21","workspace-head","easy",4120006,"victory","energyliberation","energyliberation",17,401.87,0.3054,0.1175,0.1675,85,140,38,""
"R3-04G-B007-R46","R3-04-R46-000008","2026-04-21","workspace-head","easy",4120007,"timeout","attrition","",24,610.70,0.1518,0.0918,0.2513,76,154,94,""
"R3-04G-B007-R46","R3-04-R46-000009","2026-04-21","workspace-head","easy",4120008,"timeout","attrition","",24,553.74,0.1240,0.2046,0.5069,42,72,95,""
"R3-04G-B007-R46","R3-04-R46-000010","2026-04-21","workspace-head","easy",4120009,"timeout","attrition","",24,644.56,0.3121,0.1257,0.3383,31,98,41,""
"R3-04G-B007-R46","R3-04-R46-000011","2026-04-21","workspace-head","easy",4120010,"timeout","attrition","",24,621.60,0.7744,0.0934,0.6049,17,142,0,""
"R3-04G-B007-R46","R3-04-R46-000012","2026-04-21","workspace-head","easy",4120011,"timeout","attrition","",24,534.62,0.2063,0.1277,0.0929,83,140,67,""
"R3-04G-B007-R46","R3-04-R46-000013","2026-04-21","workspace-head","easy",4120012,"victory","energyliberation","energyliberation",2,42.10,0.0000,0.0160,0.0063,84,123,150,""
"R3-04G-B007-R46","R3-04-R46-000014","2026-04-21","workspace-head","easy",4120013,"timeout","attrition","",24,618.66,0.2013,0.2737,0.2251,69,90,62,""
"R3-04G-B007-R46","R3-04-R46-000015","2026-04-21","workspace-head","easy",4120014,"victory","combined","combined",9,198.82,0.0162,0.0950,0.0877,82,144,143,""
"R3-04G-B007-R46","R3-04-R46-000016","2026-04-21","workspace-head","easy",4120015,"timeout","attrition","",24,601.96,0.1162,0.2038,0.1822,75,66,99,""
"R3-04G-B007-R46","R3-04-R46-000017","2026-04-21","workspace-head","easy",4120016,"victory","energyliberation","energyliberation",15,387.73,0.1156,0.1330,0.2783,73,127,92,""
