batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04G-B009-R52","R3-04-R52-000001","2026-04-21","workspace-head","easy",4120000,"timeout","attrition","",24,609.66,0.0926,0.0865,0.2042,51,140,100,""
"R3-04G-B009-R52","R3-04-R52-000002","2026-04-21","workspace-head","easy",4120001,"victory","energyliberation","energyliberation",15,330.91,0.2072,0.0664,0.1068,70,165,82,""
"R3-04G-B009-R52","R3-04-R52-000003","2026-04-21","workspace-head","easy",4120002,"victory","energyliberation","energyliberation",12,255.23,0.1106,0.1510,0.0327,76,123,106,""
"R3-04G-B009-R52","R3-04-R52-000004","2026-04-21","workspace-head","easy",4120003,"victory","energyliberation","energyliberation",20,518.00,0.6149,0.1251,0.3439,20,138,0,""
"R3-04G-B009-R52","R3-04-R52-000005","2026-04-21","workspace-head","easy",4120004,"timeout","attrition","",24,623.51,0.2740,0.1523,0.2977,46,123,50,""
"R3-04G-B009-R52","R3-04-R52-000006","2026-04-21","workspace-head","easy",4120005,"victory","energyliberation","energyliberation",17,411.59,0.1488,0.0553,0.1020,78,163,84,""
"R3-04G-B009-R52","R3-04-R52-000007","2026-04-21","workspace-head","easy",4120006,"victory","energyliberation","energyliberation",11,267.46,0.0884,0.1510,0.0580,83,90,114,""
"R3-04G-B009-R52","R3-04-R52-000008","2026-04-21","workspace-head","easy",4120007,"victory","energyliberation","energyliberation",20,492.81,0.5790,0.1037,0.2854,88,150,0,""
"R3-04G-B009-R52","R3-04-R52-000009","2026-04-21","workspace-head","easy",4120008,"timeout","attrition","",24,490.39,0.1521,0.2078,0.3913,19,69,75,""
"R3-04G-B009-R52","R3-04-R52-000010","2026-04-21","workspace-head","easy",4120009,"timeout","attrition","",24,620.56,0.3354,0.1604,0.3158,26,97,34,""
"R3-04G-B009-R52","R3-04-R52-000011","2026-04-21","workspace-head","easy",4120010,"defeat","military_collapse","",22,542.66,0.6779,0.1410,0.5060,5,135,0,""
"R3-04G-B009-R52","R3-04-R52-000012","2026-04-21","workspace-head","easy",4120011,"victory","axisvictory","axisvictory",14,341.17,0.1413,0.1230,0.0526,87,141,97,""
"R3-04G-B009-R52","R3-04-R52-000013","2026-04-21","workspace-head","easy",4120012,"victory","energyliberation","energyliberation",2,40.10,0.0000,0.0164,0.0065,82,120,150,""
"R3-04G-B009-R52","R3-04-R52-000014","2026-04-21","workspace-head","easy",4120013,"timeout","attrition","",24,594.66,0.2359,0.2873,0.2382,64,84,50,""
"R3-04G-B009-R52","R3-04-R52-000015","2026-04-21","workspace-head","easy",4120014,"victory","energyliberation","energyliberation",9,189.82,0.0168,0.0995,0.0748,80,140,143,""
