batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04G-B004-R37","R3-04-R37-000001","2026-04-21","workspace-head","easy",4120000,"timeout","attrition","",24,504.89,0.2224,0.1430,0.3351,56,91,48,""
"R3-04G-B004-R37","R3-04-R37-000002","2026-04-21","workspace-head","easy",4120001,"timeout","attrition","",24,554.06,0.4821,0.0733,0.1629,34,164,6,""
"R3-04G-B004-R37","R3-04-R37-000003","2026-04-21","workspace-head","easy",4120002,"victory","energyliberation","energyliberation",13,318.50,0.0806,0.2124,0.1182,88,112,106,""
"R3-04G-B004-R37","R3-04-R37-000004","2026-04-21","workspace-head","easy",4120003,"victory","energyliberation","energyliberation",11,278.49,0.1388,0.0810,0.1519,63,139,87,""
"R3-04G-B004-R37","R3-04-R37-000005","2026-04-21","workspace-head","easy",4120004,"timeout","attrition","",24,535.03,0.2025,0.2102,0.1873,19,99,81,""
"R3-04G-B004-R37","R3-04-R37-000006","2026-04-21","workspace-head","easy",4120005,"victory","energyliberation","energyliberation",10,209.74,0.2053,0.0901,0.0645,73,155,71,""
"R3-04G-B004-R37","R3-04-R37-000007","2026-04-21","workspace-head","easy",4120006,"victory","energyliberation","energyliberation",7,156.56,0.1407,0.0888,0.0835,84,114,108,""
"R3-04G-B004-R37","R3-04-R37-000008","2026-04-21","workspace-head","easy",4120007,"timeout","attrition","",24,548.95,0.2221,0.0982,0.2507,47,151,61,""
"R3-04G-B004-R37","R3-04-R37-000009","2026-04-21","workspace-head","easy",4120008,"victory","energyliberation","energyliberation",20,476.02,0.6304,0.2081,0.1645,36,100,3,""
"R3-04G-B004-R37","R3-04-R37-000010","2026-04-21","workspace-head","easy",4120009,"defeat","internal_division","",23,513.85,0.3542,0.3149,0.2337,6,29,30,""
"R3-04G-B004-R37","R3-04-R37-000011","2026-04-21","workspace-head","easy",4120010,"timeout","attrition","",24,496.97,0.5960,0.1275,0.2934,61,134,1,""
"R3-04G-B004-R37","R3-04-R37-000012","2026-04-21","workspace-head","easy",4120011,"timeout","attrition","",24,588.56,0.4444,0.1106,0.0898,46,144,18,""
"R3-04G-B004-R37","R3-04-R37-000013","2026-04-21","workspace-head","easy",4120012,"victory","energyliberation","energyliberation",2,40.10,0.0000,0.0163,0.0065,83,121,150,""
"R3-04G-B004-R37","R3-04-R37-000014","2026-04-21","workspace-head","easy",4120013,"timeout","attrition","",24,510.57,0.2029,0.1987,0.1777,64,111,68,""
"R3-04G-B004-R37","R3-04-R37-000015","2026-04-21","workspace-head","easy",4120014,"victory","axisvictory","axisvictory",9,189.82,0.0168,0.0931,0.0792,81,141,143,""
"R3-04G-B004-R37","R3-04-R37-000016","2026-04-21","workspace-head","easy",4120015,"timeout","attrition","",24,563.49,0.2235,0.0776,0.4628,79,132,66,""
"R3-04G-B004-R37","R3-04-R37-000017","2026-04-21","workspace-head","easy",4120016,"timeout","attrition","",24,584.63,0.4438,0.1243,0.3154,66,126,15,""
"R3-04G-B004-R37","R3-04-R37-000018","2026-04-21","workspace-head","easy",4120017,"victory","energyliberation","energyliberation",8,185.62,0.0479,0.1433,0.2486,79,96,132,""
"R3-04G-B004-R37","R3-04-R37-000019","2026-04-21","workspace-head","easy",4120018,"defeat","military_collapse","",15,380.52,0.9292,0.0752,0.1220,3,144,0,""
"R3-04G-B004-R37","R3-04-R37-000020","2026-04-21","workspace-head","easy",4120019,"victory","energyliberation","energyliberation",10,220.00,0.0944,0.1722,0.0600,74,64,106,""
"R3-04G-B004-R37","R3-04-R37-000021","2026-04-21","workspace-head","easy",4120020,"victory","energyliberation","energyliberation",5,111.78,0.1240,0.0849,0.0728,80,78,107,""
