index,turn,phase,step_ms,managed_mb,allocated_mb,gc0,gc1,gc2,save_load_executed,save_success,load_success,save_load_ms
1583,24,5,0.034,9.15,110.06,146,146,146,0,0,0,0.000
1584,1,0,0.034,9.15,110.06,146,146,146,0,0,0,0.000
1585,2,1,0.034,9.15,110.06,146,146,146,0,0,0,0.000
1586,3,2,0.034,9.15,110.06,146,146,146,0,0,0,0.000
1587,4,3,0.037,9.16,110.06,146,146,146,0,0,0,0.000
1588,5,4,0.035,9.16,110.06,146,146,146,0,0,0,0.000
1589,6,5,0.036,9.16,110.06,146,146,146,0,0,0,0.000
1590,7,0,0.037,9.16,110.06,146,146,146,0,0,0,0.000
1591,8,1,0.034,9.16,110.06,146,146,146,0,0,0,0.000
1592,9,2,0.040,9.16,110.06,146,146,146,0,0,0,0.000
1593,10,3,0.039,9.16,110.06,146,146,146,0,0,0,0.000
1594,11,4,0.035,9.16,110.06,146,146,146,0,0,0,0.000
1595,12,5,0.039,9.16,110.06,146,146,146,0,0,0,0.000
1596,13,0,0.034,9.16,110.06,146,146,146,0,0,0,0.000
1597,14,1,0.034,9.16,110.06,146,146,146,0,0,0,0.000
1598,15,2,0.036,9.16,110.06,146,146,146,0,0,0,0.000
1599,16,3,0.034,9.16,110.06,146,146,146,0,0,0,0.000
1600,17,4,0.034,9.16,110.06,146,146,146,1,1,1,33.660
1601,18,5,0.058,9.29,110.06,146,146,146,0,0,0,0.000
1602,19,0,0.036,9.29,110.06,146,146,146,0,0,0,0.000
1603,20,1,0.039,9.29,110.06,146,146,146,0,0,0,0.000
1604,21,2,0.035,9.29,110.06,146,146,146,0,0,0,0.000
1605,22,3,0.035,9.29,110.06,146,146,146,0,0,0,0.000
1606,23,4,0.037,9.30,110.06,146,146,146,0,0,0,0.000
1607,24,5,0.034,9.30,110.06,146,146,146,0,0,0,0.000
1608,1,0,0.034,9.30,110.06,146,146,146,0,0,0,0.000
1609,2,1,0.058,9.30,110.06,146,146,146,0,0,0,0.000
1610,3,2,0.035,9.30,110.06,146,146,146,0,0,0,0.000
1611,4,3,0.036,9.30,110.06,146,146,146,0,0,0,0.000
1612,5,4,0.034,9.30,110.06,146,146,146,0,0,0,0.000
1613,6,5,0.034,9.30,110.06,146,146,146,0,0,0,0.000
1614,7,0,0.034,9.30,110.06,146,146,146,0,0,0,0.000
